x,y,z,index
0.27666688,0.071990736,-0.40830123,4644
0.010026896,0.3115936,-0.40893224,91884
-0.172249,0.24370207,-0.4109285,251610
0.2584916,0.23238891,-0.4044635,286140
-0.1734972,-0.11537324,-0.42293334,279894
-0.1941721,-0.102557264,-0.4210886,40248
0.10823064,-0.19761723,-0.42642778,194949
0.26959506,-0.029780677,-0.42349985,66404
0.2686579,-0.13252892,-0.4157219,451764
-0.20659904,0.18942298,-0.41770962,284590
0.2269454,0.06621598,-0.4148466,238100
0.12847677,0.38871962,-0.40361825,56365
-0.04239431,0.23295519,-0.41873324,63826
-0.2259892,0.18218152,-0.40938896,467184
-0.23063311,0.14656337,-0.41670898,446142
0.10249708,-0.080450274,-0.41522178,239815
0.11282693,0.37493235,-0.40330076,80801
0.22574775,0.22680683,-0.4055878,260376
-0.22120614,-0.0002162979,-0.4157359,188256
0.29840198,0.2388145,-0.41440824,219819
-0.13605818,0.22820559,-0.4084342,5791
-0.14040227,0.08475311,-0.4169283,261255
0.006096557,0.36763597,-0.4093798,263133
0.23953724,0.33666384,-0.4086509,265615
0.0859799,0.08601992,-0.69965154,66310
0.22142446,0.3422974,-0.4128395,194630
0.15409729,-0.23069902,-0.4221537,39602
0.3355846,0.115448974,-0.40775615,467538
0.2268873,0.05132798,-0.4101383,466497
-0.24218114,0.033124946,-0.4209509,328732
-0.20679937,0.15166019,-0.41332316,226402
-0.19269624,-0.08520758,-0.4146927,329460
-0.10917624,0.062294625,-0.4142017,449634
0.37511736,0.18739173,-0.41332534,44515
-0.14764628,0.11802774,-0.4271817,165293
0.38231397,0.121137775,-0.40873083,467038
-0.16853754,-0.0756842,-0.7158406,123793
0.22376086,0.3263483,-0.41611427,167870
-0.09011484,0.14623842,-0.4372771,496884
-0.1715875,-0.022641694,-0.41396326,464196
0.10464317,-0.07844315,-0.41075805,433339
0.02122731,0.100911245,-0.7273048,104257
0.18582897,0.1406353,-0.6883448,3744
-0.05777831,0.25292417,-0.6512132,4263
0.019404864,-0.24186876,-0.4162147,138670
0.091508344,0.1944703,-0.40666118,364172
0.14750178,-0.10199609,-0.42785162,107868
0.3130151,-0.09039555,-0.41881186,79542
0.13452463,0.36095557,-0.4115376,88115
0.012965387,-0.044040952,-0.72405386,322
-0.05542871,-0.16059808,-0.4249903,27770
-0.10141132,-0.033151533,-0.42144004,41312
-0.08191405,0.2993185,-0.6952361,14212
0.101798184,0.26315,-0.41368827,107304
0.130341,0.25949958,-0.40491298,391205
0.31045428,0.22828041,-0.41572392,158625
